,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6578,8.612603305785123e-07,0.69,500,,,,,,,,,,,,
1,,,1.0,726,0.5872672200202942,0.6247395563961993,0.6941023793178698,0.12597717674543985,28.4996,390.496,24.421,,,,,
2,0.6015,8.225206611570248e-07,1.38,1000,,,,,,,,,,,,
3,,,2.0,1452,0.5408967733383179,0.676137544871173,0.7271664269226527,0.13747865935843293,28.5169,390.26,24.407,,,,,
4,0.5649,7.837809917355371e-07,2.07,1500,,,,,,,,,,,,
5,0.5421,7.450413223140496e-07,2.75,2000,,,,,,,,,,,,
6,,,3.0,2178,0.5212533473968506,0.6897526886106239,0.7365039148221721,0.15338305328421242,27.8564,399.514,24.985,,,,,
7,0.5299,7.063016528925619e-07,3.44,2500,,,,,,,,,,,,
8,,,4.0,2904,0.511451005935669,0.6938252626184985,0.7391141519446084,0.15509030460957857,27.8663,399.372,24.976,,,,,
9,0.5197,6.675619834710743e-07,4.13,3000,,,,,,,,,,,,
10,0.5132,6.288223140495868e-07,4.82,3500,,,,,,,,,,,,
11,,,5.0,3630,0.5062695145606995,0.6966020395824096,0.7411277519246361,0.1585048072603109,27.8759,399.234,24.968,,,,,
12,0.5037,5.900826446280991e-07,5.51,4000,,,,,,,,,,,,
13,,,6.0,4356,0.503739058971405,0.6980239056608819,0.7418482524921964,0.15940336058945098,29.3948,378.604,23.678,,,,,
14,0.5067,5.513429752066116e-07,6.2,4500,,,,,,,,,,,,
15,0.5029,5.126033057851239e-07,6.89,5000,,,,,,,,,,,,
16,,,7.0,5082,0.5011261105537415,0.6980136185986543,0.7423068479571919,0.16129032258064516,28.1901,394.784,24.69,,,,,
17,0.4959,4.738636363636363e-07,7.58,5500,,,,,,,,,,,,
18,,,8.0,5808,0.4990156292915344,0.6987288021715176,0.7429793617183864,0.16299757390601133,28.2704,393.663,24.619,,,,,
19,0.4925,4.3512396694214875e-07,8.26,6000,,,,,,,,,,,,
20,0.4929,3.963842975206612e-07,8.95,6500,,,,,,,,,,,,
21,,,9.0,6534,0.49795523285865784,0.7020867801675829,0.7451727394313618,0.16686135322131368,28.4855,390.69,24.433,,,,,
22,0.4895,3.5764462809917355e-07,9.64,7000,,,,,,,,,,,,
23,,,10.0,7260,0.4975072145462036,0.7031296013707065,0.7464022235943039,0.170275855872046,28.0261,397.094,24.834,,,,,
24,0.4878,3.1890495867768593e-07,10.33,7500,,,,,,,,,,,,
25,,,11.0,7986,0.4964962601661682,0.7027403498432938,0.7461229684036625,0.16982657920747596,29.3479,379.209,23.715,,,,,
26,0.4859,2.801652892561983e-07,11.02,8000,,,,,,,,,,,,
27,0.4836,2.4142561983471074e-07,11.71,8500,,,,,,,,,,,,
28,,,12.0,8712,0.49592188000679016,0.7041074712796865,0.7468192187307751,0.17144397519992813,28.0359,396.956,24.825,,,,,
29,0.4846,2.0268595041322314e-07,12.4,9000,,,,,,,,,,,,
30,,,13.0,9438,0.4953349828720093,0.7041892162758068,0.747152289680829,0.1711744092011861,28.7644,386.902,24.197,,,,,
31,0.4809,1.6394628099173552e-07,13.09,9500,,,,,,,,,,,,
32,0.4798,1.2520661157024792e-07,13.77,10000,,,,,,,,,,,,
33,,,14.0,10164,0.49510398507118225,0.7049645957514902,0.7476226777348743,0.17180339653158416,27.9256,398.524,24.923,,,,,
34,0.4837,8.646694214876032e-08,14.46,10500,,,,,,,,,,,,
35,,,15.0,10890,0.49506452679634094,0.705236508994004,0.7477827050997783,0.17315122652529427,28.2481,393.973,24.639,,,,,
36,0.4764,4.772727272727273e-08,15.15,11000,,,,,,,,,,,,
37,0.4803,8.987603305785124e-09,15.84,11500,,,,,,,,,,,,
38,,,16.0,11616,0.49504488706588745,0.7051639311475847,0.7477833242237542,0.17297151585946627,28.5093,390.364,24.413,,,,,
39,,,16.0,11616,,,,,,,,2107.507,88.142,5.512,1.221953566113792e+16,0.5108241565299757
