,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
73,0.1622,9.346767050487157e-07,13.51,30500,,,,,,,,,,,,
74,0.1592,8.516386182462357e-07,13.73,31000,,,,,,,,,,,,
75,0.1629,7.686005314437556e-07,13.95,31500,,,,,,,,,,,,
76,,,14.0,31612,0.2144802212715149,0.2422672193877551,0.57460688069145,0.26457383851438676,72.839,403.657,25.234,,,,,
77,0.1624,6.855624446412755e-07,14.17,32000,,,,,,,,,,,,
78,0.1607,6.025243578387953e-07,14.39,32500,,,,,,,,,,,,
79,0.159,5.194862710363154e-07,14.61,33000,,,,,,,,,,,,
80,0.161,4.3644818423383525e-07,14.84,33500,,,,,,,,,,,,
81,,,15.0,33870,0.21494583785533905,0.23331241269005729,0.5708512069783956,0.264267736888647,72.5862,405.063,25.322,,,,,
82,0.1577,3.534100974313552e-07,15.06,34000,,,,,,,,,,,,
83,0.1594,2.703720106288751e-07,15.28,34500,,,,,,,,,,,,
84,0.1587,1.8733392382639506e-07,15.5,35000,,,,,,,,,,,,
85,0.1592,1.0429583702391497e-07,15.72,35500,,,,,,,,,,,,
86,0.1593,2.12577502214349e-08,15.94,36000,,,,,,,,,,,,
87,,,16.0,36128,0.21503373980522156,0.23440942812670562,0.5712917376277079,0.26392762397115843,72.931,403.148,25.202,,,,,
88,,,16.0,36128,,,,,,,,6055.3014,95.44,5.966,3.802008763219968e+16,0.17976512493973185
